"ref_id","ref_code","first_author","ref_year","title","ref_type","citation_bibtex"
1,"hardyCatalogueVegetauxCultives1850","Hardy",1850,"Catalogue des Végétaux Cultivés à la Pépinière Centrale du Gouvernement à Alger","Botanic garden or arboretum","@book{hardyCatalogueVegetauxCultives1850, title = {{Catalogue des V\'eg\'etaux Cultiv\'es \`a la P\'epini\`ere Centrale du Gouvernement \`a Alger}}, author = {Hardy, Auguste}, year = {1850}, publisher = {{Imprimerie du Gouvernement}}, address = {{Alger}}, langid = {french} } "
4,"hamdyFloristicCompositionHistorical2007","Hamdy",2007,"The floristic composition of some historical botanical gardens in the metropolitan of Cairo, Egypt","Botanic garden or arboretum","@article{hamdyFloristicCompositionHistorical2007, title = {The floristic composition of some historical botanical gardens in the metropolitan of {{Cairo}}, {{Egypt}}}, author = {Hamdy, R.S. and {Abd El-Ghani}, M.M. and Youssef, T.L. and {El-Sayed}, M.}, year = {2007}, journal = {African Journal of Agricultural Research}, volume = {2}, number = {11}, pages = {610--648}, langid = {english} } "
9,"miquelCatalogusHortiBotanici1815","Miquel",1815,"Catalogus Horti Botanici Amstelodamensis","Botanic garden or arboretum","@book{miquelCatalogusHortiBotanici1815, title = {{Catalogus Horti Botanici Amstelodamensis}}, author = {Miquel, F. A. W. and Groenewegen, J. C.}, year = {1815}, publisher = {{M. Westerman and Filium}}, address = {{Amsterdam}}, langid = {dutch} } "
11,"mohamedSurveyEvaluationDocumentation2014","Mohamed",2014,"Survey, evaluation and documentation of the cultivated plants in Aswan Botanical Garden, Egypt","Botanic garden or arboretum","@article{mohamedSurveyEvaluationDocumentation2014, title = {Survey, evaluation and documentation of the cultivated plants in {{Aswan Botanical Garden}}, {{Egypt}}}, author = {Mohamed, A. A. and Habeeb, H. R. and Azer, S. A.}, year = {2014}, journal = {Bulletin of the Faculty of Agriculture of Cairo University}, volume = {65}, pages = {21--37}, langid = {english} } "
14,"tanTaxonomyVascularPlants2013","Tan",2013,"Taxonomy of vascular plants in botanical garden, Baguio City","Botanic garden or arboretum","@techreport{tanTaxonomyVascularPlants2013, title = {Taxonomy of vascular plants in botanical garden, {{Baguio City}}}, author = {Tan, Racquel}, year = {2013}, month = jul, langid = {english} } "
15,"arinasaAlphabeticalListPlant2017","Arinasa",2017,"An alphabetical list of plant species cultivated in Bali Botanic Garden","Botanic garden or arboretum","@book{arinasaAlphabeticalListPlant2017, title = {An alphabetical list of plant species cultivated in {{Bali Botanic Garden}}}, editor = {Arinasa, Ida Bagus Ketut and Adjie, Bayu and Putri, Dyan Meiningsasi Siswoyo}, year = {2017}, publisher = {{LIPI Press}}, address = {{Menteng, Jakarta}}, isbn = {978-979-799-872-1}, langid = {english}, lccn = {QK73.I52 K455 2017}, keywords = {Botany,Catalogs,Catalogs and collections,Indonesia Bali (Province),Kebun Raya ""Eka Karya"" Bali,{Plants, Cultivated}} } "
17,"cylburnarboretumfriendsWoodyPlantInventory2023","Cylburn Arboretum",2023,"Woody Plant Inventory","Botanic garden or arboretum","@misc{cylburnarboretumfriendsWoodyPlantInventory2023, title = {Woody {{Plant Inventory}}}, author = {{Cylburn Arboretum Friends}}, year = {2023}, url = {https://cylburn.org/explore/collections/woody-plant-inventory-and-map/} } "
21,"dancerCataloguePlantsExotic1792","Dancer",1792,"Catalogue of plants, exotic and indigenous, in the botanical garden, Jamaica","Botanic garden or arboretum","@book{dancerCataloguePlantsExotic1792, title = {Catalogue of plants, exotic and indigenous, in the botanical garden, {{Jamaica}}}, author = {Dancer, Thomas}, year = {1792}, publisher = {{Alexander Aikman}}, address = {{St. Jago de la Vega}} } "
24,"teijsmannCatalogusVanLands1866","Teijsmann",1866,"Catalogus van ’s Lands Plantentuin te Buitenzorg","Botanic garden or arboretum","@book{teijsmannCatalogusVanLands1866, title = {Catalogus van 's {{Lands Plantentuin}} te {{Buitenzorg}}}, author = {Teijsmann, J.E.}, year = {1866}, publisher = {{Ter Lands-Drukkerij}}, address = {{Batavia}} } "
26,"thearnoldarboretumInventoryLivingCollections2007","Arnold Arboretum",2007,"Inventory of Living Collections","Botanic garden or arboretum","@techreport{thearnoldarboretumInventoryLivingCollections2007, title = {Inventory of {{Living Collections}}}, author = {{The Arnold Arboretum}}, year = {2007}, month = sep, pages = {220}, institution = {{Harvard University}} } "
29,"inalanaturetoursInalaJurassicGarden2020","Inala Nature Tours",2020,"Inala Jurassic Garden Plant Catalogue","Botanic garden or arboretum","@misc{inalanaturetoursInalaJurassicGarden2020, title = {Inala {{Jurassic Garden Plant Catalogue}}}, author = {{Inala Nature Tours}}, year = {2020}, url = {https://jurassicgarden.com.au} } "
32,"donnHortusCantabrigiensisCatalogue1796","Donn",1796,"Hortus Cantabrigiensis: or A Catalogue of Plants, Indigenous and Foreign Cultivated in the Walkerian Botanic Garden, Cambridge","Botanic garden or arboretum","@book{donnHortusCantabrigiensisCatalogue1796, title = {Hortus {{Cantabrigiensis}}: or {{A Catalogue}} of {{Plants}}, {{Indigenous}} and {{Foreign Cultivated}} in the {{Walkerian Botanic Garden}}, {{Cambridge}}}, author = {Donn, James}, year = {1796}, publisher = {{John Burges}}, address = {{Cambridge}} } "
33,"peckCatalogueAmericanForeign1818","Peck",1818,"A Catalogue of American and Foreign Plants, Cultivated in the Botanic Garden, Cambridge, Massachusetts","Botanic garden or arboretum","@book{peckCatalogueAmericanForeign1818, title = {A {{Catalogue}} of {{American}} and {{Foreign Plants}}, {{Cultivated}} in the {{Botanic Garden}}, {{Cambridge}}, {{Massachusetts}}}, author = {Peck, W.D.}, year = {1818}, publisher = {{Hilliard and Metcalf, University Press}}, address = {{Cambridge}} } "
35,"lasserCatalogoPlantasQue1974","Lasser",1974,"Catalogo de las plantas que crecen en El Jardin Botanico del Ministerio de Agricultura y Cria, Caracas","Botanic garden or arboretum","@article{lasserCatalogoPlantasQue1974, title = {{Catalogo de las plantas que crecen en El Jardin Botanico del Ministerio de Agricultura y Cria, Caracas}}, author = {Lasser, Tob{\'i}as and Braun, Augusto and Steyermark, Julian}, year = {1974}, journal = {Acta Bot{\'a}nica Venezu{\'e}lica}, volume = {9}, number = {1/4}, pages = {9--61}, langid = {spanish} } "
