accepted_plant_name_id,taxon_name,taxon_authors,cultivation.lin2019,life.form.integrated,WorldCuP.n.tdwg3,nat.extent,nat.incidence,native.global.tdwg3,planting.China.tdwg3
2960699,Prunus mira,Koehne,yes,woody,3,0,0,3,4
2658795,Astragalus datuensis,Y.C.Ho,no,perennial herb,0,0,0,1,0
468762,Bulbophyllum maanshanense,"Z.J.Liu, L.J.Chen & W.H.Rao",no,NA,0,0,0,1,0
225431,Carex cespitosa,L.,no,perennial herb,8,0,0,48,0
2959528,Prunus dolichadenia,Cardot,no,woody,0,0,0,2,0
2833412,Grewia sessilifolia,Gagnep.,no,woody,0,0,0,5,0
150463,Peristylus iyoensis,Ohwi,no,perennial herb,0,0,0,5,0
496960,Involucrella coronaria,(Kurz) Neupane & N.Wikstr.,yes,NA,0,0,0,11,1
2959769,Prunus fordiana,Dunn,no,woody,0,0,0,3,0
2341505,Ligusticopsis rechingeriana,Leute,no,perennial herb,0,0,0,1,0
3237812,Yamazakia pusilla,"(Willd.) W.R.Barker, Y.S.Liang & Wannan",no,annual herb,2,1,1,27,0
130207,Mosla soochouensis,Matsuda,yes,annual herb,0,0,0,1,2
136403,Oberonia insularis,Hayata,yes,perennial herb,0,0,0,4,1
3061627,Paraprenanthes prenanthoides,(Hemsl.) C.Shih,yes,annual herb,0,0,0,2,1
14120,Aralia kingdon-wardii,"J.Wen, Lowry & Esser",no,woody,0,0,0,5,0
2959880,Prunus hainanensis,(G.A.Fu & Y.S.Lin) W.C.Chen,no,woody,0,0,0,1,0
2956590,Potentilla pensylvanica,L.,no,perennial herb,17,3,1,36,0
2565617,Primula hoi,W.P.Fang,no,perennial herb,0,0,0,1,0
2920149,Salix rhododendroides,C.Wang & C.Y.Yu,no,woody,0,0,0,1,0
2476882,Strobilanthes cycla,C.B.Clarke ex W.W.Sm.,no,perennial herb,0,0,0,1,0
2518576,Trema angustifolium,(Planch.) Blume,yes,woody,1,0,0,11,2
2518676,Trema nitidum,C.J.Chen,yes,woody,0,0,0,3,1
289581,Tulipa iliensis,Regel,no,perennial herb,6,0,0,3,0
531901,Vincetoxicum hui,(Tsiang) Meve & Liede,no,woody,0,0,0,1,0
2457265,Vaccinium oxycoccos,L.,yes,perennial herb,21,0,0,81,3
2609453,Abelia chinensis,R.Br.,yes,woody,26,2,1,5,4
2931605,Abelia forrestii,(Diels) W.W.Sm.,no,woody,1,0,0,1,0
2609482,Abelia macrotera,(Graebn. & Buchw.) Rehder,yes,woody,0,0,0,3,1
2609528,Abelia uniflora,R.Br.,yes,woody,11,0,0,1,3
2609567,Abelmoschus crinitus,Wall.,yes,perennial herb,0,0,0,18,2
2609589,Abelmoschus manihot,(L.) Medik.,yes,perennial herb,44,8,1,24,4
2609599,Abelmoschus moschatus,Medik.,yes,annual herb,40,23,1,22,4
2609606,Abelmoschus muliensis,K.M.Feng,no,annual herb,0,0,0,1,0
2609626,Abelmoschus sagittifolius,(Kurz) Merr.,yes,perennial herb,4,0,0,14,3
2610167,Abroma augustum,(L.) L.f.,yes,woody,35,0,0,20,3
2610639,Abutilon gebauerianum,Hand.-Mazz.,yes,woody,0,0,0,1,1
2610663,Abutilon guineense,(Schumach.) Baker f. & Exell,no,annual herb,1,4,1,22,0
2610681,Abutilon hirtum,(Lam.) Sweet,yes,annual herb,4,21,1,34,0
2610698,Abutilon indicum,(L.) Sweet,yes,annual herb,21,19,1,43,4
2610857,Abutilon paniculatum,Hand.-Mazz.,no,woody,0,0,0,1,0
2610937,Abutilon roseum,Hand.-Mazz.,no,annual herb,1,0,0,1,0
2610972,Abutilon sinense,Oliv.,yes,woody,2,0,0,3,1
2998354,Senegalia caesia,"(L.) Maslin, Seigler & Ebinger",yes,woody,3,0,0,13,1
2590813,Senegalia rugata,(Lam.) Britton & Rose,yes,woody,8,6,1,21,2
2998365,Senegalia delavayi,"(Franch.) Maslin, Seigler & Ebinger",no,woody,0,0,0,1,0
2998369,Senegalia megaladena,"(Desv.) Maslin, Seigler & Ebinger",yes,woody,0,0,0,15,1
2998337,Senegalia pennata,(L.) Maslin,yes,woody,14,1,1,10,4
2998411,Senegalia pruinescens,"(Kurz) Maslin, Seigler & Ebinger",yes,woody,0,0,0,8,1
2998398,Senegalia teniana,"(Harms) Maslin, Seigler & Ebinger",no,woody,0,0,0,1,0
2998416,Senegalia tonkinensis,"(I.C.Nielsen) Maslin, Seigler & Ebinger",yes,woody,0,0,0,5,1
2998420,Senegalia vietnamensis,"(I.C.Nielsen) Maslin, Seigler & Ebinger",no,woody,0,0,0,2,0
2998419,Senegalia yunnanensis,"(Franch.) Maslin, Seigler & Ebinger",no,woody,0,0,0,1,0
133,Acalypha acmophylla,Hemsl.,yes,woody,0,0,0,3,1
188,Acalypha angatensis,Blanco,no,woody,0,0,0,2,0
214,Acalypha australis,L.,yes,annual herb,5,14,1,18,4
320,Acalypha caturus,Blume,yes,woody,2,0,0,10,1
647,Acalypha hainanensis,Merr. & Chun,no,woody,0,0,0,1,0
713,Acalypha indica,L.,no,annual herb,9,20,1,49,0
760,Acalypha kerrii,Craib,no,woody,1,0,0,5,0
777,Acalypha lanceolata,Willd.,no,annual herb,0,2,1,44,0
855,Acalypha mairei,(H.Lév.) C.K.Schneid.,no,woody,0,0,0,3,0
872,Acalypha matsudae,Hayata,no,woody,0,0,0,1,0
1177,Acalypha schneideriana,Pax & K.Hoffm.,no,woody,0,0,0,1,0
258,Acalypha brachystachya,Hornem.,yes,annual herb,8,1,1,33,2
1394,Acalypha wui,H.S.Kiu,no,woody,0,0,0,1,0
1421,Acampe ochracea,(Lindl.) Hochr.,yes,perennial herb,4,0,0,11,3
1426,Acampe praemorsa,(Roxb.) Blatt. & McCann,yes,perennial herb,12,0,0,19,5
1453,Acanthophippium striatum,Lindl.,yes,perennial herb,4,0,0,15,3
1454,Acanthophippium sylhetense,Lindl.,yes,perennial herb,3,0,0,14,4
2501878,Morina alba,Hand.-Mazz.,no,perennial herb,2,0,0,4,0
2501890,Morina nepalensis,D.Don,yes,perennial herb,2,0,0,6,1
293458,Acanthochlamys bracteata,P.C.Kao,no,perennial herb,0,0,0,2,0
2614576,Acantholimon alatavicum,Bunge,no,woody,2,0,0,5,0
2614634,Acantholimon borodinii,Krasn.,no,woody,0,0,0,3,0
2614684,Acantholimon diapensioides,Boiss.,no,woody,3,0,0,6,0
2614744,Acantholimon hedinii,Ostenf.,no,woody,1,0,0,4,0
2614784,Acantholimon kokandense,Bunge,no,woody,0,0,0,2,0
