"taxon_name","taxon_authors","accepted_plant_name_id","number_records","number_tdwg3"
"Prunus mira","Koehne",2960699,10,3
"Astragalus datuensis","Y.C.Ho",2658795,0,0
"Bulbophyllum maanshanense","Z.J.Liu, L.J.Chen & W.H.Rao",468762,0,0
"Carex cespitosa","L.",225431,15,8
"Prunus dolichadenia","Cardot",2959528,0,0
"Grewia sessilifolia","Gagnep.",2833412,0,0
"Peristylus iyoensis","Ohwi",150463,0,0
"Involucrella coronaria","(Kurz) Neupane & N.Wikstr.",496960,0,0
"Prunus fordiana","Dunn",2959769,0,0
"Ligusticopsis rechingeriana","Leute",2341505,0,0
"Yamazakia pusilla","(Willd.) W.R.Barker, Y.S.Liang & Wannan",3237812,2,2
"Mosla soochouensis","Matsuda",130207,0,0
"Oberonia insularis","Hayata",136403,0,0
"Paraprenanthes prenanthoides","(Hemsl.) C.Shih",3061627,0,0
"Aralia kingdon-wardii","J.Wen, Lowry & Esser",14120,0,0
"Prunus hainanensis","(G.A.Fu & Y.S.Lin) W.C.Chen",2959880,0,0
"Potentilla pensylvanica","L.",2956590,35,17
"Primula hoi","W.P.Fang",2565617,0,0
"Salix rhododendroides","C.Wang & C.Y.Yu",2920149,0,0
"Strobilanthes cycla","C.B.Clarke ex W.W.Sm.",2476882,0,0
"Trema angustifolium","(Planch.) Blume",2518576,1,1
"Trema nitidum","C.J.Chen",2518676,0,0
"Tulipa iliensis","Regel",289581,11,6
"Vincetoxicum hui","(Tsiang) Meve & Liede",531901,0,0
"Vaccinium oxycoccos","L.",2457265,96,21
"Abelia chinensis","R.Br.",2609453,133,26
"Abelia forrestii","(Diels) W.W.Sm.",2931605,2,1
"Abelia macrotera","(Graebn. & Buchw.) Rehder",2609482,0,0
"Abelia uniflora","R.Br.",2609528,45,11
"Abelmoschus crinitus","Wall.",2609567,1,
"Abelmoschus manihot","(L.) Medik.",2609589,113,44
"Abelmoschus moschatus","Medik.",2609599,75,40
"Abelmoschus muliensis","K.M.Feng",2609606,0,0
"Abelmoschus sagittifolius","(Kurz) Merr.",2609626,4,4
"Abroma augustum","(L.) L.f.",2610167,68,35
"Abrus melanospermus subsp. melanospermus",,3240347,0,0
"Abutilon gebauerianum","Hand.-Mazz.",2610639,0,0
"Abutilon guineense","(Schumach.) Baker f. & Exell",2610663,1,1
"Abutilon hirtum","(Lam.) Sweet",2610681,7,4
"Abutilon indicum","(L.) Sweet",2610698,37,21
"Abutilon paniculatum","Hand.-Mazz.",2610857,0,0
"Abutilon roseum","Hand.-Mazz.",2610937,1,1
"Abutilon sinense","Oliv.",2610972,2,2
"Senegalia caesia","(L.) Maslin, Seigler & Ebinger",2998354,4,3
"Senegalia rugata","(Lam.) Britton & Rose",2590813,15,8
"Senegalia delavayi","(Franch.) Maslin, Seigler & Ebinger",2998365,0,0
"Senegalia megaladena","(Desv.) Maslin, Seigler & Ebinger",2998369,0,0
"Senegalia pennata","(L.) Maslin",2998337,17,14
"Senegalia pruinescens","(Kurz) Maslin, Seigler & Ebinger",2998411,0,0
"Senegalia teniana","(Harms) Maslin, Seigler & Ebinger",2998398,0,0
