response,effect,component,group,term,estimate,std.error,conf.low,conf.high,dir,hyp,Hypothesis,Estimate,Est.Error,CI.Lower,CI.Upper,Evid.Ratio,Post.Prob,Star,model
culChinatdwg3scaled,fixed,cond,NA,(Intercept),-1.5127339505083552e-4,0.00573584542552934,-0.011264649734217919,0.0110008860540725, < 0,culChinatdwg3scaled_(Intercept) < 0,(culChinatdwg3scaled_(Intercept)) < 0,NA,NA,NA,NA,NA,NA,NA,model_nat.all_sp
culforeigntdwg3scaled,fixed,cond,NA,(Intercept),3.342321060884005e-5,0.004858519673613698,-0.009453524861167833,0.009492903248707527, > 0,culforeigntdwg3scaled_(Intercept) > 0,(culforeigntdwg3scaled_(Intercept)) > 0,NA,NA,NA,NA,NA,NA,NA,model_nat.all_sp
natextentscaled,fixed,cond,NA,(Intercept),1.4241599275029542e-4,0.005300901137431943,-0.010292276706586535,0.010584795490231962, > 0,natextentscaled_(Intercept) > 0,(natextentscaled_(Intercept)) > 0,NA,NA,NA,NA,NA,NA,NA,model_nat.all_sp
culChinatdwg3scaled,fixed,cond,NA,native.global.tdwg3.scaled,0.3577511409385158,0.00577061127459428,0.34638080625598083,0.36882947426314094, > 0,culChinatdwg3scaled_native.global.tdwg3.scaled > 0,(culChinatdwg3scaled_native.global.tdwg3.scaled) > 0,0.3577511409385158,0.00577061127459428,0.34822820057335696,0.3672234968209076,Inf,1,*,model_nat.all_sp
culforeigntdwg3scaled,fixed,cond,NA,cul.China.tdwg3.scaled,0.4008065647080962,0.005145482233376956,0.3903988634872821,0.4106935755091561, > 0,culforeigntdwg3scaled_cul.China.tdwg3.scaled > 0,(culforeigntdwg3scaled_cul.China.tdwg3.scaled) > 0,0.4008065647080962,0.005145482233376956,0.39241253038495766,0.4091501620130987,Inf,1,*,model_nat.all_sp
culforeigntdwg3scaled,fixed,cond,NA,native.global.tdwg3.scaled,0.3606120509747674,0.005090460617289018,0.35095759703847684,0.3706441150716608, > 0,culforeigntdwg3scaled_native.global.tdwg3.scaled > 0,(culforeigntdwg3scaled_native.global.tdwg3.scaled) > 0,0.3606120509747674,0.005090460617289018,0.3524087657470571,0.3690692665537452,Inf,1,*,model_nat.all_sp
natextentscaled,fixed,cond,NA,cul.foreign.tdwg3.scaled,0.40439618681691275,0.006704941799519761,0.391660441616001,0.4174191135594584, > 0,natextentscaled_cul.foreign.tdwg3.scaled > 0,(natextentscaled_cul.foreign.tdwg3.scaled) > 0,0.40439618681691275,0.006704941799519761,0.39356973573594306,0.41544434307217276,Inf,1,*,model_nat.all_sp
natextentscaled,fixed,cond,NA,cul.China.tdwg3.scaled,-0.011900974046704217,0.006196301592565272,-0.02386102685692697,3.2339479258353257e-4, < 0,natextentscaled_cul.China.tdwg3.scaled < 0,(natextentscaled_cul.China.tdwg3.scaled) < 0,-0.011900974046704217,0.006196301592565272,-0.022007238451134684,-0.0016383899839704716,34.39823008849557,0.97175,*,model_nat.all_sp
natextentscaled,fixed,cond,NA,native.global.tdwg3.scaled,0.24276402970816766,0.005988742871695919,0.2308484302555812,0.25486984025864445, > 0,natextentscaled_native.global.tdwg3.scaled > 0,(natextentscaled_native.global.tdwg3.scaled) > 0,0.24276402970816766,0.005988742871695919,0.23285812902148503,0.2524677198655068,Inf,1,*,model_nat.all_sp
culChinatdwg3scaled,ran_pars,cond,Residual,sd__Observation,0.9337962599871275,0.003984080051034298,0.9260015338073444,0.941735242869668, > 0,culChinatdwg3scaled_sd__Observation > 0,(culChinatdwg3scaled_sd__Observation) > 0,NA,NA,NA,NA,NA,NA,NA,model_nat.all_sp
culforeigntdwg3scaled,ran_pars,cond,Residual,sd__Observation,0.7784483173290901,0.003510898422749321,0.7716790022193515,0.7854597228434531, > 0,culforeigntdwg3scaled_sd__Observation > 0,(culforeigntdwg3scaled_sd__Observation) > 0,NA,NA,NA,NA,NA,NA,NA,model_nat.all_sp
