model,term,estimate,std.error,statistic,p.value
Binomial (zero part),(Intercept),-5.429952005213228,0.15490957186440962,-35.05239824667514,3.584542919651812e-269
Binomial (zero part),scale.native.global.tdwg3,0.7754057685079454,0.06189711842602104,12.52733226078536,5.291272279261818e-36
Binomial (zero part),scale.WorldCuP.n.tdwg3,1.6327483980889066,0.07266128973796379,22.47067735760042,8.035639787975447e-112
Binomial (zero part),scale.planting.China.tdwg3,0.4261770086053804,0.07422645997976494,5.741577986092311,9.379834333793674e-9
Binomial (zero part),life.form.integratedannual herb,2.0812882184141848,0.23779854823444432,8.752316756628193,2.0901674062093105e-18
Binomial (zero part),life.form.integratedperennial herb,1.1301570912526502,0.17691244664402753,6.388228260313892,1.6781871373391972e-10
Binomial (zero part),scale.native.global.tdwg3:life.form.integratedannual herb,0.7818494416880252,0.1221415782178694,6.401173565101683,1.5418717283281008e-10
Binomial (zero part),scale.native.global.tdwg3:life.form.integratedperennial herb,0.40254234518188736,0.07775032212530959,5.177372056840008,2.2503316460539378e-7
Binomial (zero part),scale.WorldCuP.n.tdwg3:life.form.integratedannual herb,-0.5910952209970047,0.12395523236179143,-4.768618554735627,1.8549350053044114e-6
Binomial (zero part),scale.WorldCuP.n.tdwg3:life.form.integratedperennial herb,-0.7390238455245297,0.08707727810665858,-8.486988357850594,2.1206100327943878e-17
Binomial (zero part),scale.planting.China.tdwg3:life.form.integratedannual herb,-0.288751961861032,0.11306099145060393,-2.5539486091203,0.010650897541105611
Binomial (zero part),scale.planting.China.tdwg3:life.form.integratedperennial herb,-0.12152021699587988,0.08660498864743167,-1.40315493245531,0.16057064333754364
Zero-truncated NB (count part),(Intercept):1,-1.9338720971849288,0.2207175581415523,-8.761750145607731,1.9224200661034567e-18
Zero-truncated NB (count part),(Intercept):2,-1.0626110178052826,0.09131590487091357,-11.636647737405832,2.6835715338346295e-31
Zero-truncated NB (count part),scale.native.global.tdwg3,0.14072342209428373,0.06345068083722384,2.2178394343048127,0.026565782290321284
Zero-truncated NB (count part),scale.WorldCuP.n.tdwg3,1.2063469133388793,0.08611645592516862,14.008320481594613,1.3864510405546883e-44
Zero-truncated NB (count part),scale.planting.China.tdwg3,0.0717259656417523,0.0848856599671003,0.844971526045172,0.39812673711746654
Zero-truncated NB (count part),life.form.integratedannual herb,2.202969078032256,0.2954207191284723,7.457056785087003,8.847657884743942e-14
Zero-truncated NB (count part),life.form.integratedperennial herb,1.4317042545253134,0.2454615176066569,5.832703506785805,5.4536426395731665e-9
Zero-truncated NB (count part),scale.native.global.tdwg3:life.form.integratedannual herb,0.3447794545972474,0.11319045233202171,3.04601181012958,0.0023189872617976814
Zero-truncated NB (count part),scale.native.global.tdwg3:life.form.integratedperennial herb,0.42028161612726206,0.0815532281940214,5.153463884070656,2.5571834193413724e-7
Zero-truncated NB (count part),scale.WorldCuP.n.tdwg3:life.form.integratedannual herb,-0.4516106330676908,0.11366694553452904,-3.9731043263628765,7.094195824361129e-5
Zero-truncated NB (count part),scale.WorldCuP.n.tdwg3:life.form.integratedperennial herb,-0.5131104718411618,0.10002482993625057,-5.129830984648367,2.9000244151311847e-7
Zero-truncated NB (count part),scale.planting.China.tdwg3:life.form.integratedannual herb,0.06950434937409777,0.10621908848164849,0.6543489533532013,0.5128870137838679
Zero-truncated NB (count part),scale.planting.China.tdwg3:life.form.integratedperennial herb,-0.02764509255980785,0.09969037083082465,-0.27730955687507464,0.7815424218987299
